"Day","In weeks","Babies Spontaneously Born"
245,"35W,0D",20
246,"35W,1D",21
247,"35W,2D",16
248,"35W,3D",25
249,"35W,4D",23
250,"35W,5D",25
251,"35W,6D",22
252,"36W,0D",43
253,"36W,1D",29
254,"36W,2D",40
255,"36W,3D",44
256,"36W,4D",35
257,"36W,5D",42
258,"36W,6D",51
259,"37W,0D",81
260,"37W,1D",73
261,"37W,2D",77
262,"37W,3D",92
263,"37W,4D",110
264,"37W,5D",104
265,"37W,6D",136
266,"38W,0D",167
267,"38W,1D",144
268,"38W,2D",159
269,"38W,3D",206
270,"38W,4D",263
271,"38W,5D",233
272,"38W,6D",272
273,"39W,0D",330
274,"39W,1D",306
275,"39W,2D",316
276,"39W,3D",402
277,"39W,4D",423
278,"39W,5D",426
279,"39W,6D",486
280,"40W,0D",631
281,"40W,1D",558
282,"40W,2D",475
283,"40W,3D",443
284,"40W,4D",408
285,"40W,5D",443
286,"40W,6D",444
287,"41W,0D",435
288,"41W,1D",339
289,"41W,2D",261
290,"41W,3D",258
291,"41W,4D",181
292,"41W,5D",138
293,"41W,6D",118
294,"42W,0D",84
295,"42W,1D",38
296,"42W,2D",30
297,"42W,3D",27
298,"42W,4D",13
299,"42W,5D",11
300,"42W,6D",10
301,"43W,0D",12
